note-text,location
每次经过好看花花带，我都会不自觉低头找有没有掉下来的可以捡捡，这个季节真心哪哪都好看啊~,上海
粉扇吧,上海
月季棒棒糖,上海
高架上也都放满了花哈哈哈超级好看,上海
前阵子郁金香也好看，花瓣感觉都透明的那种，看的我挪不开眼看,上海
真好美，忍不住拍拍,上海
月季 其实就是鲜切花的多头玫瑰,上海
周家嘴,上海
上班路上的，正好红灯，忍不住拍一下,上海
都是我纳税的钱种的呢,上海
北翟路马路中间隔离带全是爬藤月季，各种颜色竞相开放，美得很,上海
下班路上的,上海
12号线国际客运中心那边的花墙,上海
不是棒棒糖月季，是月季粉扇做成棒棒糖造型,上海
月季,上海
月季好大一朵,上海
月季吧,上海
粉扇,上海
树月季,上海
长得像棒棒糖的那个是棒棒糖月季地面上的是杜鹃,上海
前一阵子路过的一条小路边上很大一棵的白木香,上海
有红掌,上海
棒棒糖月季,上海
今天刚拍的,上海
我也拍了，好好看。,上海
辅德里公园这棵杜鹃才让我惊叹，人站在旁边都变得渺小,上海
对，一路都很大的这种花，害我每次回家都走非机动车道上看花,上海
粉扇月季,上海
树上的应该是月季，矮的那些应该是杜鹃。,上海
绯扇和粉扇，特地网上买了这2个品种的花，开花超级大一朵，而且特别好养活，皮实。不容易生病,上海
借楼，蹲学员，直营驾校，教学一对一，五次不过免费重学，收费透明，可以免费试学，可以看看我的教学视频，满意找我细聊,上海
太美了,上海
真的好大朵，非常想知道是什么品种,上海
太考验个人素质了,上海
我家是绯扇，但是没做棒棒糖，直接地栽灌木丛，开花又大又香，复花好,安徽
